index,id_local,desc_barrio_local,clase_vial_edificio,desc_vial_edificio,num_edificio,rotulo,desc_epigrafe
46599,270218151,DELICIAS,CALLE,TOMAS BRETON,43,JARDIN DE LAS DELICIAS,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
46605,270218975,LUCERO,PASAJE,LUCERO,2,BAR SAFARI,BAR SIN COCINA
46622,270219119,PUERTA BONITA,CALLE,BLASON,1,MESON EL TONEL,BAR CON COCINA
46623,270219225,SAN DIEGO,CALLE,MARTINEZ DE LA RIVA,37,BAR EL CONDADO,BAR CON COCINA
46626,270219391,SAN ANDRES,CALLE,ALBINO HERNANDEZ LAZARO,30,BLANCANIEVES,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
46627,270219443,CASCO H.VICALVARO,PASEO,ARTILLEROS,25,LA TABERNA DE YOLI,BAR CON COCINA
46628,270219443,CASCO H.VICALVARO,PASEO,ARTILLEROS,25,LA TABERNA DE YOLI,BAR SIN COCINA
46633,270032328,CUATRO CAMINOS,AVENIDA,PRESIDENTE CARMONA,10,PINSAPO,CAFETERIA
46634,270032491,EL PILAR,CALLE,PUENTEDEUME,3,BAR HERMANOS ALVAREZ,BAR SIN COCINA
46639,270033358,SAN CRISTOBAL,CALLE,ROCAFORT,131,BAR LOS CLAVELES,BAR CON COCINA
46640,270219644,EMBAJADORES,PLAZA,CASCORRO,16,"LA MANYULA, BAR, CAFETERÍA, RACIONES",BAR RESTAURANTE
46645,270220224,SOL,CALLE,ESPOZ Y MINA,5,BAR EL ROCIO,RESTAURANTE
46647,270220256,SOL,CARRERA,SAN JERONIMO,8,LHARDY,BAR RESTAURANTE
46648,270220267,CORTES,CARRERA,SAN JERONIMO,9,CAFETERIA-CHOCOLATERIA,CAFETERIA
46653,270033527,LOS ROSALES,CALLE,SAHARA,58,BAR EL PARQUE,BAR CON COCINA
46660,270033786,SAN DIEGO,AVENIDA,SAN DIEGO,122,VIVARI CAFETERIA & PANADERIA,CAFETERIA
46666,280052946,OPAÑEL,AVENIDA,OPORTO,34,STAR ROCK LEGEND,BAR ESPECIAL SIN ACTUACIONES
46667,280052947,OPAÑEL,AVENIDA,OPORTO,34,HELLRAISER,BAR ESPECIAL SIN ACTUACIONES
46673,280052974,OPAÑEL,GLORIETA,VALLE DE ORO,9,LOCCOPIZZA,BAR SIN COCINA
