INDEX,ID-EVENTO,TITULO,PRECIO,GRATUITO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,DESCRIPCION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,BARRIO-INSTALACION,LATITUD,LONGITUD,TIPO
465,11831105,Freedom by Soweto Gospel Choir,"35 euros. Discapacidad y acompañante: 25 % de descuento. Jubilados y mayores 65 años, desempleados y familias numerosas: 14 % de descuento. Amigos del FG.CCV y Artistas de cia.: solo 30 entradas por función (todos los días) 30 % de descuento",0,"['X', 'J', 'V']",2022-12-07 00:00:00.0,2022-12-09 23:59:00.0,-,"Días 7, 8 y 9 de diciembre de 2022.",Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
466,11831099,From Spirituals to Gospel by Bridget Bazile Stars of Gospel,"30 euros. Discapacidad y acompañante: 25 % de descuento. Jubilados y mayores 65 años, desempleados y familias numerosas: 14 % de descuento. Amigos del FG.CCV y Artistas de cia.: solo 30 entradas por función (todos los días) 30 % de descuento.",0,"['V', 'D']",2022-12-02 00:00:00.0,2022-12-04 23:59:00.0,-,Días 2 y 4 de diciembre de 2022.,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
480,11831101,GOSPEL4KIDS a cargo de JERRY SMITH GOSPEL SINGERS,10 euros,0,['S'],2022-12-03 00:00:00.0,2022-12-10 23:59:00.0,-,Días 3 y 10 de diciembre de 2022.,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
486,11830282,Guitarricadelafuente,Platea: 28 euros Preferente frontal A/B filas 1-4: 28 euros Preferente frontal A/B filas 5-11: 23 euros Preferente frontal C/D filas 1-11: 26 euros Preferente escenario: 28 euros Grada: 24 euros Silla de ruedas: 26 euros,0,"['S', 'D']",2023-02-04 00:00:00.0,2023-02-05 23:59:00.0,20:00,"Sábado: Inicio de concierto: 20 h Domingo: Inicio de concierto: 19:30 h Guitarricadelafuente presenta su primer álbum, La cantera, un trabajo en el que se puede encontrar la esencia pura de este artista. Poseedor de un talento peculiar y seductor, su extrema originalidad le convierte en uno de los talentos más prometedores del momento. Muchos son los elementos de Álvaro Lafuente que remiten a sus raíces, comenzando por el diminutivo de su nombre artístico, que fluye desde el pueblo aragonés de sus abuelos o esa inseparable guitarra acústica que también le bautizó. El parón de la pandemia le situó en un punto de vista distinto frente a sus canciones, las cuales ya no salen directamente de su guitarra, sino que se someten a un cuidado proceso creativo, para jugar con las estructuras y reinventarse en el estudio. Ese estilo tan personal que le hizo explotar desde la muy casera El conticinio (2018), grabada en su habitación con un micrófono de Singstar. Pero ahora sin tapujos flirtea con la electrónica y los sonidos urbanos. Su primera gira, La Girica, la empezó en 2019 y la continuó en 2020. Visitó distintas ciudades y festivales de España, con el papel agotado en muchos de sus conciertos. En 2020, fue nominado a tres categorías de los Premios MIN de la Música Independiente: Mejor Artista Emergente, Mejor Canción del Año por Agua y mezcal y Mejor Videoclip por Guantanamera. Del nuevo álbum se han podido degustar maravillas como Mil y una noches, Vidalita del mar y Quién encendió la luz ?su mascarón de proa?, una serie de avances que ahora completa con A carta cabal. El nuevo sencillo, que se estrena el mismo día que el disco, es un tema tan enigmático como su videoclip, pero, sobre todo una singularidad extraordinaria en un músico de su juventud. 'La Cantera representa el relevo de la juventud en cada generación, como una chispa que siempre has llevado dentro y prende para quedarse viva, como un relato sobre los muchachos que abrazan su origen y se enorgullecen de él', explica Álvaro Lafuente.",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
493,11735874,HISTORIA DE UNA MAESTRA,Próximamente más información,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-01-19 00:00:00.0,2023-02-05 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
498,11768202,Hong Sang-Soo «The Novelist?s film»,"3,50 euros",0,-,2022-12-14 00:00:00.0,2022-12-14 23:59:00.0,20:00,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
511,11735915,III DANZA EN LA VILLA,Más información sobre precios y programación en próximas fechas.,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-06-13 00:00:00.0,2023-06-25 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ActividadesCalleArteUrbano
520,11772281,Ilustración con plástico mágico: ¡Diseña y crea tu propio pin! 2,5 euros,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2022-10-15 00:00:00.0,2022-12-03 23:59:00.0,-,-,Espacio Abierto Quinta de los Molinos,['1.6'],CALLE,JUAN IGNACIO LUCA DE TENA,20.0,EL SALVADOR,40.44774002225867,-3.629287454229164,CursosTalleres
533,11785670,Investigactiva Especial Magnetismo,10 euros (más gastos de gestión). Sólo se devolverá el importe de la matrícula en caso de que la organización cancele la actividad.,0,"['S', 'D']",2022-10-16 00:00:00.0,2022-12-17 23:59:00.0,-,-,Casa del Lector,['3'],PASEO,CHOPERA,14.0,CHOPERA,40.39343275613288,-3.6985778802913103,CursosTalleres
534,11768259,IRATXE FRESNEDA «TETUÁN»,"3,50 euros",0,-,2023-03-15 00:00:00.0,2023-03-15 23:59:00.0,-,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
