index,stop_code,stop_name,stop_desc,stop_lat,stop_lon
1153,213,UNIVERSIDAD REY JUAN CARLOS,Calle   Tulipán 2,40.33512,-3.87218
1157,214,MOSTOLES CENTRAL,Paseo de la Estación 13,40.3285,-3.86354
1162,215,PRADILLO,Calle de Agustina de Aragón 23,40.32168,-3.86489
1165,216,HOSPITAL DE MOSTOLES,Calle del Río Sella 10,40.31652,-3.87471
1168,217,MANUELA MALASAÑA,Plaza   Sol de 9001 SN,40.30903,-3.86402
1171,218,LORANCA,Calle de la Alegría 4,40.29681,-3.83768
1175,219,HOSPITAL DE FUENLABRADA,Cmno del Molino 3,40.28576,-3.81642
1179,220,PARQUE EUROPA,Calle de Francia 34,40.28518,-3.80632
1182,221,FUENLABRADA CENTRAL,Calle de la Vía SN,40.28268,-3.79891
1187,222,PARQUE DE LOS ESTADOS,Calle de Venezuela 2,40.28684,-3.78697
1191,223,ARROYO CULEBRO,Paseo de Juan José Rosón 1,40.28874,-3.75682
1194,224,CONSERVATORIO,Avda de las Arcas del Agua 5,40.29324,-3.74576
1197,225,ALONSO DE MENDOZA,Calle del Greco 6,40.30081,-3.73664
1200,226,GETAFE CENTRAL,Calle  Ferrocarril 2,40.30993,-3.73403
1204,227,JUAN DE LA CIERVA,Avda de España 20,40.3118,-3.72224
1208,228,EL CASAR,Avda del Casar 2,40.31862,-3.70985
1213,229,LOS ESPARTALES,Avda   Rigoberta Menchú 3,40.32423,-3.7182
1216,230,EL BERCIAL,Avda   Comandante José Manuel Ripollés 4,40.32907,-3.72963
1218,231,EL CARRASCAL,Avda   Rey Juan Carlos I 85,40.33664,-3.74018
1222,232,JULIAN BESTEIRO,Avda   Rey Juan Carlos I 23 A,40.33475,-3.75266
1226,233,CASA DEL RELOJ,Avda   Gibraltar 11,40.3266,-3.75942
1230,234,HOSPITAL SEVERO OCHOA,Avda   Orellana 3,40.32177,-3.76797
1234,235,LEGANES CENTRAL,Calle  Virgen del Camino 1,40.32899,-3.77154
1239,236,SAN NICASIO,Avda   Mar Mediterráneo SN,40.33616,-3.77587
1270,237,OPERA,Plaza de Isabel II 9,40.41809,-3.70928
1271,238,PRINCIPE PIO,Paseo de la Florida 2,40.42099,-3.72033
